Date,Revenue,Cost,Profit
2022-01-01,57755.09,32874.76,24880.33
2022-02-01,51620.38,37635.41,13984.97
2022-03-01,61126.59,35994.58,25132.0
2022-04-01,64342.07,34073.78,30268.29
2022-05-01,66058.14,36639.03,29419.12
2022-06-01,54467.91,28853.98,25613.93
2022-07-01,54207.83,28670.1,25537.73
2022-08-01,44244.01,27890.18,16353.82
2022-09-01,50396.28,38945.4,11450.88
2022-10-01,42802.2,32320.69,10481.52
2022-11-01,38999.53,30561.69,8437.84
2022-12-01,59873.05,30791.15,29081.9
2023-01-01,56590.23,30346.14,26244.09
2023-02-01,63635.11,42426.37,21208.74
2023-03-01,61368.11,43469.89,17898.22
2023-04-01,58354.09,31902.05,26452.04
2023-05-01,67965.61,53072.99,14892.61
2023-06-01,56197.68,42981.92,13215.76
2023-07-01,50119.65,36409.27,13710.37
2023-08-01,47023.77,33560.78,13463.0
2023-09-01,54985.71,29611.16,25374.56
2023-10-01,51132.1,32074.19,19057.91
2023-11-01,52870.3,37345.81,15524.49
2023-12-01,70848.81,53130.16,17718.65
2024-01-01,57264.75,34870.48,22394.27
2024-02-01,78424.4,53714.8,24709.59
2024-03-01,75333.03,38482.62,36850.42
2024-04-01,69192.28,36482.81,32709.47
2024-05-01,76323.06,59864.65,16458.41
2024-06-01,66863.91,38263.15,28600.76
2024-07-01,63422.81,38470.63,24952.18
2024-08-01,55985.24,41567.57,14417.67
2024-09-01,60622.38,38810.01,21812.37
2024-10-01,57704.09,40955.49,16748.61
2024-11-01,60057.69,41489.98,18567.71
2024-12-01,71429.33,35992.87,35436.46
